Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
Front Row Filmed Entertainment LLC,Front Row Filmed Entertainment LLC - Licensing Agreement - Services,"PVOD, SVOD",z_VOD Content License Agreement,ODM,MENA,,
George Bush Presidential Library Foundation,George Bush - 2016 TVOD Content License Agreement - Services,"AVOD, EST, FOD, PPV, SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, Europe, LATAM, MENA",,"United Kingdom, including British Overseas Territories (Anguilla,
Montserrat, Bermuda, Pitcairn Island, British Antarctic Territory, St
Helena, British Indian Ocean Territory, St Helena dependencies
(Ascension Island, Tristan de Cunha), British Virgin Islands, Cayman
Islands, South Georgia and the South Islands, Falkland islands, Turks
and Caicos Islands, Gibraltar, Channel Islands, Isle of Man).
• Republic of Ireland .
• Channel Islands (Bailiwick of Jersey and Bailiwick of Guernsey) .
• Greece, Cyprus, Malta, Former Yugoslavia, Bulgaria, Middle East,
Africa, latin America, Including Caribbean (where license rights are
available)."
GoQuest Media Ventures Pvt . Ltd. (SVOD-AFRICA),GoQuest Media (Africa) - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,
GoQuest Media Ventures Pvt . Ltd. (SVOD-AFRICA),GoQuest Media (Africa) - Amdt#2 - 2017 SVOD Content License Agreement - Services,SVOD,Content License Agreement,Vubiquity Management Limited,Africa,,
"Gravitas Ventures (ODG), LLC",Gravitas - 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, Caribbean, Europe, LATAM, MENA, Oceania, SEE",," French Antilles (Zeus Only), French West Indies, Grenadines Islands, Netherland Antilles"
"Gravitas Ventures (ODG), LLC",Gravitas - Ltr Amdt #1 to 2012 SVOD/TVOD Content License Agreement  - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,"French Antilles (Zeus Only), French West Indies, Netherland Antilles"
Gulf Film LLC,Gulf Film LLC - 2018 PVOD/TVOD Content License Agreement - Services,"PVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,MENA,,"United Arab Emirates
The State of Qatar.
Subject to the rights being available in the Included Programme, additional
territories may be agreed between the parties and added to this Agreement
by way of an addendum."
HBO Enterprise - (Israel - SVOD),HBO (Israel) - 2017 OTT SVOD/Linear Content License Agreement - Services,"Linear, OTT, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
"Home Box Office, INC.",HBO (SEE) - 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
"Home Box Office, INC.",HBO (SEE) - Amendment #2 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
"HBO International Mobile, Inc.",HBO Intl Mobile - License Agreement & Amend 1 - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Europe",,
Vodafone Panafon Hellenic Telecommunications Company S.A.,Hellas On Line - Carriage and Service Agreement - Amend 1 - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Greece,
Vodafone Panafon Hellenic Telecommunications Company S.A.,Hellas On Line - Carriage and Service Agreement - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Greece,
Vodafone Panafon Hellenic Telecommunications Company S.A.,Hellas On Line - SVOD Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Greece,
The Hellenic Telecommunications Organisation S.A.,Hellenic Telecomm/OTE - 2013 VOD Services Agreement - Renewal - Services,"Content Processing, PPV, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,EUR:Greece,
The Hellenic Telecommunications Organisation S.A.,Hellenic Telecomm/OTE - Amnd #1 to 2013 VOD Services Agreement - Services,"PPV, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,EUR:Greece,
The Hellenic Telecommunications Organisation S.A.,Hellenic Telecomm/OTE - Amnd #2 to 2013 VOD Services Agreement - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,,EUR:Greece,
High Fliers Films PLC,High Fliers - 2016 VOD Licensing Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, Europe, LATAM, MENA, SEE",,
High Fliers Films PLC,High Fliers - Amdt#1 to 2016 EST/TVOD Licensing Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, Europe, LATAM, MENA, SEE",,
Hit Entertainment Limited (SVOD),Hit Ent - Amdt 1 2014 SVOD Content License Agrmt - LatAm/Carib - Multi-Series,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Japan",,"•Latin America• shall mean Argentina, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Ecuador, El Salvador, Falkland Islands, French Guyana, Guatemala, Guyana, Haiti, Honduras,
Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Uruguay, and Venezuela. For the avoidance of doubt, Latin America shall specifically exclude Cuba.

The •caribbean Territory• shall mean Antigua, Antigua & Barbuda, Aruba, Bahamas, Barbados, Bermuda, British Virgin Islands, Cayman Islands, Dominica, Dominican Republic, Grenada,
Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Netherlands Antilles, Puerto Rico, St. Lucia, St. Kitts & Nevis, St. Vincent & Grenadines, Trinidad & Tobago, Turks & Caicos Islands,
U.S. Virgin Islands."
Hit Entertainment Limited (SVOD),Hit Entment - 2014 SVOD Content License Agrmt - LatAm/Carib - Multi-Series,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Japan",,"•Latin America• shall mean Argentina, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Ecuador, El Salvador, Falkland Islands, French Guyana, Guatemala, Guyana, Haiti, Honduras,
Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Uruguay, and Venezuela. For the avoidance of doubt, Latin America shall specifically exclude Cuba.

The •caribbean Territory• shall mean Antigua, Antigua & Barbuda, Aruba, Bahamas, Barbados, Bermuda, British Virgin Islands, Cayman Islands, Dominica, Dominican Republic, Grenada,
Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Netherlands Antilles, Puerto Rico, St. Lucia, St. Kitts & Nevis, St. Vincent & Grenadines, Trinidad & Tobago, Turks & Caicos Islands,
U.S. Virgin Islands."
"HIT Entertainment/ Lyons Partnership/ Thomas Licensing, LLC",HIT/Lyons/Thomas - SVOD Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,"""Latin America"" shall mean Argentina, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Ecuador, EI Salvador, Falkland Islands, French Guyana, Guatemala, Guyana, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Uruguay, and Venezuela. For the avoidance of doubt, Latin America shall specifically exclude Cuba.

The ""Caribbean Territory"" shall mean Antigua, Antigua & Barbuda, Aruba, Bahamas, Barbados, Bermuda, British Virgin Islands, Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Netherlands Antilles, Puerto Rico, St. Lucia, St. Kitts & Nevis, St. Vincent & Grenadines, Trinidad & Tobago, Turks & Caicos Islands, U.S. Virgin Islands."
"HIT Entertainment/Lyons Partnership LP /Thomas Licensing, LLC (VOD/SVOD)",HITLyonsThomas - 2012 S/VOD Cont Licen Agrmt - MulSeri - LtAm/CRIB -  Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,
Hop! Channel Ltd,Hop! Channel - 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and West Bank
Hop! Channel Ltd,Hop! Channel - Amdt #1 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and West Bank
Hop! Channel Ltd,Hop! Channel - Amdt #2 to 2014 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and West Bank
Icon Film Distribution Limited,Icon (FilmFlex) - Amd 1 2010 Amded & Restated VOD Content Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Icon Film Distribution Limited,Icon (FilmFlex) - Amdt 2 2010 Amd & Restated VOD Content Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Icon Film Distribution Limited,Icon Film (FilmFlex) - 2010 Amd & Restated VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Imagine Media Kids Limited (SVOD - Israel),Imagine Media - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
Imagine Media Kids Limited (SVOD - Israel),Imagine Media - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
Imagine Media Kids Limited (SVOD - Israel),Imagine Media - Amdt#1 to 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
IMIRA Entertaiment S.L,IMIRA - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, LATAM, MENA",,"Territories Latin America, Caribbean Middle East, Africa and Israel."
IMIRA Entertaiment S.L,IMIRA - Amdt#1 - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, LATAM, MENA",,"""4. Territories: Latin America, Caribbean, Middle East and Africa. Nevertheless, for the title
""Street Football"" rights shall be granted in non-exclusive basis on Latin America and Caribbean
territories only.
For avoidance of doubt ""Latin America and the Caribbean"" territories shall mean, without
limitation: Anguilla/ Antilles, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize,
Bermuda, Bolivia, Bonaire, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa
Rica, Cuba (to the extent permitted by U.S. law), Curacao, Dominica, Dominican Republic,
Ecuador, El Salvador, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haitf,
Honduras, Jamaica, Leeward Islands, Martinique , Mexico, Montserrat, Nicaragua, Panama,
Paraguay, Peru, Puerto Rico, Saba, St. Christopher & Nevis/St. Kitts, St. Lucia, St. Maarten, St.
Vincent & Grenadines, Suriname, Tortola, Trinidad & Tobago, Turks and Caicos Islands, Uruguay
and Venezuela."""
IMIRA Entertaiment S.L,IMIRA - Amdt#2 - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, LATAM, MENA",,"""4. Territories: Latin America, Caribbean, Middle East and Africa. Nevertheless, for the title
""Street Football"" rights shall be granted in non-exclusive basis on Latin America and Caribbean
territories only.
For avoidance of doubt ""Latin America and the Caribbean"" territories shall mean, without
limitation: Anguilla/ Antilles, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize,
Bermuda, Bolivia, Bonaire, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa
Rica, Cuba (to the extent permitted by U.S. law), Curacao, Dominica, Dominican Republic,
Ecuador, El Salvador, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haitf,
Honduras, Jamaica, Leeward Islands, Martinique , Mexico, Montserrat, Nicaragua, Panama,
Paraguay, Peru, Puerto Rico, Saba, St. Christopher & Nevis/St. Kitts, St. Lucia, St. Maarten, St.
Vincent & Grenadines, Suriname, Tortola, Trinidad & Tobago, Turks and Caicos Islands, Uruguay
and Venezuela."""
iRoko Partners Limited,iRoko - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,Africa
iRoko Partners Limited,iRoko - Amdt#1 to 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,Africa
ITV Global Entertainment  Limited,ITV - 2016 SVOD Content License Agreement - Services,"PAYG, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
ITV Global Entertainment  Limited,ITV - Amdt#1 to 2016 SVOD Content License Agreement - Services,"PAYG, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
JB Hi-Fi Limited,JB Hi-Fi Limited - Term Sheet - Services,Content Processing,Term Sheet (binding),Vubiquity Management Limited,Oceania,,
Journeyman Pictures Limited,Journeyman - 2018 PayTV/SVOD Content License Agreement - Services,"Linear, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, SEE","SEE:Cyprus, SEE:Greece, SEE:Israel (incl Jerusalem, the West Bank, Gaza)","Territory Israel (including the West Bank). Greece, Cyprus and Africa"
Kabel Baden-Württemberg GmbH & Co. KG,Kabel - VOD Services Agreement - Amend 2 - Services,TVOD,z_VOD Services Agreement,OD Deutchland,,,
Kabel Baden-Württemberg GmbH & Co. KG,Kabel BW - VOD Services Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,OD Deutchland,GAS,GAS:Germany,
Kaleidoscope Home Entertainment LTD,Kaleidoscope - Amdt#1 to 2016 VOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Kaleidoscope Home Entertainment LTD,Kaleidoscope (FilmFlex/VU) - 2016 VOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Koch Media LTD (FilmFlex),Koch Media (FilmFlex) - 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Koch Media LTD (FilmFlex),Koch Media (FilmFlex) - Amdt #1 to 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Krisco Media FZC,Krisco - 2016 EST/PPV/VOD Content License Agreement - Servies,"EST, PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia",,"Bahrain, Egypt, Iran, Iraq, Jordan, Kuwait, Lebanon, Oman, Qatar, Saudi Arabia, Syria, United Arab Emirates, Algeria, Tunisia, Morocco, Yemen, South Sudan."
Lammtara FZ LLC,Lammtara -2015 SVOD Content License Agreement - Services,SVOD,Term Sheet (binding),Vubiquity Management Limited,"Africa, Asia, MENA",,"United Arab Emirates, Qatar, Oman, Kuwait, Morocco, Algeria and Tunisia"
Lev Cinemas Limited (EST/TVOD - Israel),Lev Cinemas (Israel)  - 2018 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Territory: Israel including Israeli controlled Jerusalem, Gaza and the West Bank"
Lev Cinemas Limited (EST/TVOD - Israel),Lev Cinemas (Israel)  - Amd#1 2018 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Territory: Israel including Israeli controlled Jerusalem, Gaza and the West Bank"
LIONS GATE TELEVISION INTERNATIONAL,Lions Gate - 2014 SVOD Cont Lic Agrmt - Israel -  Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,
LIONS GATE TELEVISION INTERNATIONAL,Lions Gate - 2014 SVOD Cont Lic Agrmt - Multi Territory -  Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, Mexico",,"Territory: The ""Territory"" shall consist of
(a) Mexico;
(b) Central America {which shall only include Belize, Costa Rica, El Salvador, Guatemala, Honduras. Nicaragua and Panama);
(c) South America {which shall only include Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana,
Paraguay, Peru, Surinam, Uruguay and Venezuela); and
(d) the Caribbean Basin Islands (which shall exclude Puerto Rico and only include Anguilla, Antigua and Barbuda, the Bahamas,
Barbados, Bermuda, the British Virgin Islands, the Cayman Islands, Cuba (to the extent permitted by United States law),
Dominica, Dominican Republic, Grenada, Guadalupe, Haiti, Jamaica, Martinique, Montserrat, the former Netherlands Antilles
(consisting of Saba, St. Eustatius and Sint Maarten and Aruba, Bonaire and Curacao) SL Kitts and Nevis. St Lucia, St. Martin,
St. Vincent and the Grenadines, Trinidad and Tobago, the U.S. Virgin Islands and the Turks and Caicos Islands)."
